Player,Pos,Age,Tm,PER,BPM,WS/48,VORP,TS%,FG%,eFG%,3P%,2P%,FT%,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,OBPM,DBPM,PPG,APG,RPG,SPG,BPG,TPG,FPG
Aaron Gordon,PF,25.0,ORL,14.5,0.1,0.07,0.4,0.55,0.47,0.52,0.32,0.54,0.67,231,499,59.0,176.0,172,323,97,149,77.0,207.0,0.35,0.29,6.0,16.2,11.0,17.4,1.2,2.3,14.1,20.5,0.35,0.6,0.95,0.2,-0.1,12.36,3.22,5.68,0.66,0.68,1.94,1.78
Aaron Holiday,PG,24.0,IND,9.2,-4.2,0.01,-0.7,0.5,0.39,0.47,0.37,0.41,0.82,170,436,67.0,182.0,103,254,68,83,15.0,74.0,0.42,0.19,1.4,6.8,4.1,14.0,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,-3.3,-0.9,7.2,1.86,1.35,0.7,0.2,1.0,1.42
Aaron Nesmith,SF,21.0,BOS,9.4,-3.2,0.08,-0.2,0.57,0.44,0.55,0.37,0.54,0.79,78,178,40.0,108.0,38,70,22,28,28.0,99.0,0.61,0.16,4.6,16.6,10.6,4.6,1.1,1.3,10.8,13.7,0.5,0.6,1.1,-2.8,-0.4,4.74,0.5,2.76,0.33,0.2,0.5,1.89
Abdel Nader,SF,27.0,PHO,13.4,0.0,0.1,0.2,0.6,0.49,0.57,0.42,0.53,0.76,57,116,18.0,43.0,39,73,28,37,7.0,55.0,0.37,0.32,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19.0,0.3,0.4,0.7,-1.0,1.0,6.67,0.79,2.58,0.42,0.38,0.79,1.42
Adam Mokoka,SG,22.0,CHI,2.2,-9.3,-0.11,-0.1,0.39,0.37,0.4,0.1,0.67,0.0,7,19,1.0,10.0,6,9,0,1,1.0,4.0,0.53,0.05,2.0,7.8,4.9,11.9,1.7,1.6,20.5,18.9,-0.2,0.1,-0.1,-7.7,-1.6,1.07,0.36,0.36,0.14,0.07,0.36,0.36
Al Horford,C,34.0,OKC,17.4,3.4,0.1,1.1,0.54,0.45,0.53,0.37,0.51,0.82,162,360,56.0,152.0,106,208,18,22,29.0,159.0,0.42,0.06,3.8,21.4,12.5,20.1,1.5,2.9,7.3,21.6,0.8,0.9,1.6,2.0,1.4,14.21,3.36,6.71,0.89,0.93,1.04,1.71
Al-Farouq Aminu,PF,30.0,ORL,6.45,-5.2,0.0,-0.1,0.43,0.3,0.35,0.2,0.38,0.81,38,99,8.0,37.0,30,62,18,22,22.0,88.0,0.47,0.35,4.4,24.3,14.3,7.4,1.85,1.1,20.15,12.05,-0.2,0.25,0.05,-5.95,0.75,4.43,1.35,4.78,0.83,0.39,1.22,1.26
Alec Burks,SG,29.0,NYK,14.8,1.5,0.13,1.1,0.56,0.42,0.52,0.42,0.42,0.86,210,500,102.0,246.0,108,254,101,118,21.0,206.0,0.49,0.24,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,1.5,1.8,3.3,0.9,0.6,12.71,2.18,4.63,0.63,0.29,1.0,2.08
Aleksej Pokusevski,PF,19.0,OKC,6.1,-6.1,-0.08,-1.1,0.43,0.34,0.41,0.28,0.4,0.74,139,408,58.0,207.0,81,201,31,42,30.0,182.0,0.51,0.1,2.8,17.6,10.1,13.1,0.9,3.4,18.8,20.5,-2.9,1.0,-1.9,-5.1,-1.0,8.16,2.16,4.71,0.44,0.93,2.2,1.29
Alen Smailagic,PF,20.0,GSW,8.9,-5.3,0.02,-0.1,0.47,0.41,0.48,0.4,0.41,0.33,11,27,4.0,10.0,7,17,2,6,6.0,10.0,0.37,0.22,7.7,12.5,10.1,6.5,1.7,5.2,14.4,17.6,-0.1,0.1,0.0,-4.9,-0.4,1.87,0.27,1.07,0.2,0.33,0.33,0.73
